home_team,home_win,home_draw,home_loss,away_win,away_draw,continent,avg_FIFA_points,median_FIFA_rank,home_goal_scored,home_goal_conceded,away_goal_scored,away_goal_conceded
Solomon Islands,28,8,18,28,10,Oceania,160.6616001,154.5,134,77,94,132
Somalia,2,1,22,38,2,Africa,115.2757311,194,9,70,14,126
South Africa,127,54,48,70,38,Africa,265.9608847,64,306,164,158,189
South Sudan,7,7,11,22,2,Africa,495.1940741,161,25,30,12,62
Spain,145,27,17,27,37,Europe,593.5830668,5,469,107,312,141
Sri Lanka,26,20,33,62,12,Asia,159.6782891,154,116,128,54,225
St. Kitts and Nevis,35,17,23,34,10,North America,194.3087613,131,138,89,77,119
St. Lucia,24,4,21,40,11,North America,139.7042992,141,98,89,74,136
St. Vincent and the Grenadines,19,7,9,23,7,North America,333.1429016,148,67,40,57,85
Sudan,51,25,44,77,42,Africa,212.2696859,113,163,142,123,217
Suriname,26,9,12,28,12,South America,289.089864,141,94,54,77,98
Sweden,101,36,36,70,53,Europe,419.3251686,19,309,143,269,218
Switzerland,80,32,43,49,38,Europe,523.2691075,18,273,152,191,166
Syria,56,24,31,85,51,Asia,228.328935,101,237,110,237,283
São Tomé and Príncipe,7,0,10,21,3,Africa,307.509158,187,12,31,18,79
Tahiti,27,6,15,25,5,Oceania,143.7497147,157,95,67,57,113
Tajikistan,35,7,20,41,18,Asia,303.6129987,141,132,58,96,143
Tanzania,61,43,47,77,31,Africa,210.7010139,124,174,149,112,220
Thailand,122,50,53,53,24,Asia,182.2824084,106,417,254,143,179
Timor-Leste,4,1,11,35,3,Asia,216.4497075,190.5,19,46,29,136
Togo,53,25,25,88,39,Africa,220.0786032,86,152,92,116,247
Tonga,3,1,11,17,3,Africa,67.58060036,192,16,57,22,97
Trinidad and Tobago,105,29,44,102,32,South America,201.9058402,67,380,168,181,303
Tunisia,121,46,31,60,50,Africa,384.1918917,31,355,137,195,192
Turkey,80,39,37,50,46,Europe,404.0929425,30.5,266,163,230,192
Turkmenistan,28,10,15,47,10,Asia,193.6392679,136,100,56,83,147
Turks and Caicos Islands,2,0,6,14,1,North America,434.6870165,203,7,37,13,73
US Virgin Islands,2,0,18,24,3,North America,264.4716516,197.5,9,94,14,143
USA,194,56,64,67,35,North America,394.2786344,22,589,261,172,191
Uganda,89,47,19,84,49,Africa,294.2912824,86,262,99,164,218
Ukraine,77,40,26,51,37,Europe,445.6241174,29,221,109,175,179
United Arab Emirates,121,54,64,66,38,Asia,267.3914775,74,413,269,162,187
Uruguay,83,30,26,77,46,South America,495.3520296,19,257,124,247,259
Uzbekistan,74,25,25,79,27,Asia,335.0275894,74,259,89,205,245
Vanuatu,9,8,17,28,5,Oceania,137.6658972,170.5,45,58,125,111
Venezuela,52,38,46,105,32,South America,323.0649004,63,184,178,136,322
Vietnam,57,28,35,40,18,Asia,271.5610073,127,225,138,117,158
Wales,53,33,43,54,21,Europe,506.7797447,53,160,134,113,160
Yemen,27,22,38,73,17,Asia,156.3787534,141,100,124,74,222
Zambia,94,51,35,92,63,Africa,272.4174421,62,260,134,272,266
Zimbabwe,74,35,26,83,39,Africa,220.3373804,84,205,108,201,229
